7787076|875103701|2018-10-02|mid***|"보통의 판타지,퓨전판타지들과는 다른 요소들이 많네요.
뭔가 설마...하는 느낌이 드는 이야기진행이긴하지만
현판..헌터물이나 연예인물같은거 별로 안보고싶었던저로써는 제법 괜찮네요"|NULL|0|0
7791186|875103701|2018-10-02|ojh***|소재가 괜찬은듯 저는 별점 5개 짜리 임|80|4|1
7791772|875103701|2018-10-02|kaa***|너무 재밌어요ㅠㅠㅠㅠㅠ|NULL|0|0
7791893|875103701|2018-10-02|eun***|진짜 잼있음! 버릴 캐릭터가 없어요|100|3|1
7792358|875103701|2018-10-02|sml***|"무료분까지 읽었습니다.
도입부가 엉성한거 빼곤 상당히 잘쓴글입니다.
캐릭터들이 나름 개성이 있어서 그놈이 그놈같지도 않고 아직까지 발암캐릭도 안보여서 재밌게 보고 있습니다.
전체적인 스토리는 진행되지 않았지만 세계관도 나쁘지않아 보이고 문장전개도 볼만하네요
유료분도 보도록 하겠습니다"|NULL|2|0
7794390|875103701|2018-10-03|mad***|굉장히 재미있게 보고있는 연재물|100|1|1
7795006|875103701|2018-10-05|jak***|"간만에  캐시가  아깝지않은 작품
가끔식  내뱉는 무심한 말과 시크한개그들~
회귀물 경영물  좀본  일인으로  이작품  추천합니다.
주변캐릭터들도 잘 살리시고  작가님  필력이  상당하신듯"|100|3|1
7795529|875103701|2018-10-03|cho***|"전형적인 빙의 착각계 정도인데 잘 읽히는 글입니다.
대륙을 나누는 세력과 구성원이 개성있고 묘사가 좋더군요.     막상 사건의 현장 진입이라 잔인 살벌한 현장이긴해도요.    잔인 살벌인데 주조연이 동화적이라 괴리감에 호불호가 있을 수 있어요.

내용은 저렇지만 이 소설은 라온 육아기입니다."|NULL|1|0
7796445|875103701|2018-10-03|swc***|이거 타 사이트에서 정말 잼나게 보고 있는겁니다 ㅋ 리디에도 왔군요 ㅎㅎ|NULL|0|0
7796696|875103701|2018-10-03|wla***|"주변 강자들이 ㄴㅓ무 쉽게 쥔공의 은인이 되네..밥한끼, 지나가는 흔한 말, 편지 한장.. 그런데도 재미는 있음..일단 계속 보겠음..
145화까지 읽은 현재..최고임!! 별 주가함!!"|80|1|1
7799052|875103701|2018-10-03|lad***|아 진짜 강추입니다 보면서 킥킥 웃었어요|100|3|1
7799644|875103701|2018-10-03|sin***|"평화롭고 유유자적한 삶을 꿈꾸지만,
주변 인물들이 오해해서 날려버리는...
(전직)망나니 영웅 전기 ㅋㅋㅋㅋ"|80|0|1
7800122|875103701|2018-10-03|mlk***|"댓글 알바에 속아서 잃다고 손발 오그러들어서 장애자 될뻔했음..
너무 너무 유치하고...초딩 습작 수준이 글"|NULL|4|0
7800208|875103701|2019-01-19|afi***|"글이 재밋고 시원시원한 맛은 있지만 너무 시원시원합니다.
굴곡없이 모든 일이 시원하게 진행되네요"|60|9|1
7800303|875103701|2018-10-03|hoo***|진짜 간만에 !!!!!!!!! 정말 쓰레기같은 판타지 연재 작품중에 제 취향에 맞는걸 찾았습니다 ;; 정말 맘에 듭니다 깔끔합니다!!!|40|7|1
7802342|875103701|2018-10-04|psy***|소재는 진부하지만 이야기 진행이나 떡밥처리가 능숙하기 그지 없습니다. 간만에 진짜 재미있는 작품 읽었네요. 다음 편 빨리 업로드 좀ㅜㅜ|100|5|1
7804043|875103701|2018-11-27|b5y***|내가읽어본연재작중최고!|100|1|1
7806820|875103701|2018-10-04|kds***|"정말 오랜만에 읽을만함 책이..
로맨스소설과 혼합이긴하지만....
글을 맛깔나게 잘쓰시네여."|100|0|1
7808477|875103701|2018-10-05|jsk***|재밌습니다. 걍 가볍게 볼 수 있는 착각물?이네요.|100|1|1
7809167|875103701|2018-10-04|wls***|진짜 군더더기 없이 깔끔해요 ㅠㅠㅠ 개꿀잼|NULL|0|0
7810783|875103701|2018-10-05|son***|"소재나 인물 전개 모두 손발이 오그라들고 유치하게 느껴짐 특히 오구오구 거리는 듯한 분위기가 도저히 견디기 힘들다
있는지 모르겠고 읽어본적은 없다만 연애요소 없는 남자 주인공 여성향 소설이 이러지 않을까 싶음 아니면 라노벨 이라든가
그리고 무엇보다 뭐만 하면 나른하단 표현 쓰는데 같은 상황을 한정된 어휘로 밖에 표현 못 하는거 보고 작가 수준이 어느 정돈지 알 수 있었음"|NULL|3|0
7813117|875103701|2018-10-05|aie***|가볍게 아무생각 없이 멍 때리면 볼만함|40|24|1
7814424|875103701|2018-10-05|key***|단권을 기대합니다.....|NULL|0|0
7815277|875103701|2018-10-05|jhs***|알바인지 진짜 인지는 몰것지만  댓글에 스토리가 좋다는데 , 나는 문장 자체가 이상해서 도저히 안읽어진다   어순도 이상하고|NULL|5|0
7822354|875103701|2018-10-06|hy9***|잘보고있어요. 진부한 소재이지만, 이상하게 술술 읽힙니다.|80|1|1
7830697|875103701|2018-10-07|kev***|뻔한 소재와 뻔한 스토리를 어떤작가가 쓰냐에 따라 달라지는지 명확하게 보여준 소설.|100|171|1
